month,BRK_ret,rf,mktrf,smb,hml,mom,,,Variable descriptions:,
01/01/1980,0.045455,0.008,0.0551,0.0165,0.0172,0.0751,,,BRK_ret,monthly (total) return of Berkshire Hathaway stock
01/02/1980,0,0.0089,-0.0122,-0.0183,0.0066,0.0788,,,rf,1-month T-Bill rate = riskfree rate
01/03/1980,-0.217391,0.0121,-0.129,-0.0665,-0.0102,-0.0959,,,mktrf,US stock market return minus riskfree rate
01/04/1980,0.074074,0.0126,0.0397,0.0096,0.0101,-0.0042,,,smb,"return on the SMB factor (i.e., going long small stocks and going short large stocks)"
01/05/1980,0.137931,0.0081,0.0526,0.0216,0.0038,-0.0111,,,hml,"return on the HML factor (i.e., going long value stocks and going short growth stocks)"
01/06/1980,-0.060606,0.0061,0.0306,0.0166,-0.0085,0.0159,,,mom,"return on the MOM factor (i.e., going long past winners and going short past losers)"
01/07/1980,0.129032,0.0053,0.0649,0.0425,-0.0629,0.0037,,,,
01/08/1980,0.1,0.0064,0.018,0.0391,-0.0264,0.0319,,,,
01/09/1980,0.019481,0.0075,0.0219,0.0087,-0.0477,0.0544,,,,
01/10/1980,0.076433,0.0095,0.0106,0.0248,-0.0277,0.0732,,,,
01/11/1980,0.047337,0.0096,0.0959,-0.0346,-0.0836,0.1524,,,,
01/12/1980,-0.022599,0.0131,-0.0452,-0.0027,0.0273,-0.0665,,,,
01/01/1981,0.017341,0.0104,-0.0504,0.0301,0.0683,-0.0794,,,,
01/02/1981,0.119318,0.0107,0.0057,-0.0032,0.01,-0.0139,,,,
01/03/1981,-0.005076,0.0121,0.0356,0.0358,0.0069,0.0073,,,,
01/04/1981,0.071429,0.0108,-0.0211,0.0442,0.0229,-0.0095,,,,
01/05/1981,0.009524,0.0115,0.0011,0.02,-0.0047,0.0375,,,,
01/06/1981,-0.023585,0.0135,-0.0236,-0.0083,0.051,-0.059,,,,
01/07/1981,-0.048309,0.0124,-0.0154,-0.0218,-0.0068,-0.0252,,,,
01/08/1981,0,0.0128,-0.0704,-0.0196,0.0484,-0.0112,,,,
01/09/1981,-0.045685,0.0124,-0.0717,-0.0266,0.052,0.0197,,,,
01/10/1981,0.095745,0.0121,0.0492,0.0214,-0.0422,0.0407,,,,
01/11/1981,0.145631,0.0107,0.0336,-0.0097,0.0189,-0.0026,,,,
01/12/1981,-0.042373,0.0087,-0.0365,0.0117,0.0075,0.0132,,,,
01/01/1982,-0.084071,0.008,-0.0324,-0.0129,0.0319,0.0173,,,,
01/02/1982,0.009662,0.0092,-0.0586,0.0048,0.061,0.05,,,,
01/03/1982,-0.066986,0.0098,-0.0187,-0.002,0.0379,0.0293,,,,
01/04/1982,0.061538,0.0113,0.0327,0.0151,-0.0277,-0.0041,,,,
01/05/1982,-0.009662,0.0106,-0.0399,0.0047,0.018,0.0255,,,,
01/06/1982,-0.014634,0.0096,-0.0309,-0.004,0.0154,0.05,,,,
01/07/1982,-0.044554,0.0105,-0.0319,0.0082,0.0012,0.0447,,,,
01/08/1982,0.020725,0.0076,0.1114,-0.0409,0.01,-0.0352,,,,
01/09/1982,0.13198,0.0051,0.0129,0.0289,0.0033,0.0417,,,,
01/10/1982,0.116592,0.0059,0.113,0.0235,-0.0373,0.0003,,,,
01/11/1982,0.120482,0.0063,0.0467,0.0477,-0.0189,0.0589,,,,
01/12/1982,0.121864,0.0067,0.0055,-0.0019,-0.0003,0.0002,,,,
01/01/1983,-0.01278,0.0069,0.036,0.027,-0.0081,-0.017,,,,
01/02/1983,0.087379,0.0062,0.0259,0.0324,0.007,0.0383,,,,
01/03/1983,0.160714,0.0063,0.0282,0.0176,0.0205,0.0093,,,,
01/04/1983,0.007692,0.0071,0.0667,0.0052,0.0056,0.018,,,,
01/05/1983,0.012723,0.0069,0.0052,0.0615,-0.0142,-0.0159,,,,
01/06/1983,-0.075377,0.0067,0.0307,0.0089,-0.0393,0.0178,,,,
01/07/1983,0.040761,0.0074,-0.0407,0.0146,0.0561,-0.0313,,,,
01/08/1983,0.075718,0.0076,-0.005,-0.043,0.0556,-0.0544,,,,
01/09/1983,0.208738,0.0076,0.0091,0.0056,0.0108,-0.001,,,,
01/10/1983,0.052209,0.0076,-0.0344,-0.036,0.0507,-0.0456,,,,
01/11/1983,0.041985,0.007,0.0216,0.0203,-0.0064,-0.0009,,,,
01/12/1983,-0.029304,0.0073,-0.0178,-0.0029,0.0168,0.0074,,,,
01/01/1984,0.009434,0.0076,-0.0192,-0.0043,0.0762,-0.0249,,,,
01/02/1984,-0.033645,0.0071,-0.0482,-0.0171,0.0336,0.0019,,,,
01/03/1984,-0.030948,0.0073,0.0063,0.0008,0.0051,0.0109,,,,
01/04/1984,0.007984,0.0081,-0.0051,-0.0121,0.0127,0.0205,,,,
01/05/1984,0.029703,0.0078,-0.0597,0.0003,0.0026,0.0152,,,,
01/06/1984,-0.019231,0.0075,0.0182,-0.0032,-0.0262,-0.007,,,,
01/07/1984,-0.017647,0.0082,-0.0274,-0.0222,0.0048,0.0293,,,,
01/08/1984,0.03992,0.0083,0.1028,-0.0027,-0.0182,-0.0569,,,,
01/09/1984,0.011516,0.0086,-0.008,0.002,0.0532,0.0367,,,,
01/10/1984,-0.003795,0.01,-0.0084,-0.012,0.0051,0.0321,,,,
01/11/1984,-0.015238,0.0073,-0.0176,-0.0063,0.0408,0.017,,,,
01/12/1984,-0.003868,0.0064,0.0184,-0.006,-0.002,0.0154,,,,
01/01/1985,0.095146,0.0065,0.0799,0.0329,-0.0541,-0.069,,,,
01/02/1985,0.067376,0.0058,0.0122,0.0076,-0.0013,0.0182,,,,
01/03/1985,0.217608,0.0062,-0.0084,-0.0115,0.041,0.0168,,,,
01/04/1985,0.00955,0.0072,-0.0096,0.0014,0.0372,0.0306,,,,
01/05/1985,0.005405,0.0066,0.0509,-0.0225,-0.0092,0.04,,,,
01/06/1985,0.155914,0.0055,0.0127,0.005,0.005,0.0363,,,,
01/07/1985,-0.018605,0.0062,-0.0074,0.0284,-0.0168,-0.0394,,,,
01/08/1985,-0.033175,0.0055,-0.0102,-0.0033,0.0232,0.0182,,,,
01/09/1985,0.014706,0.006,-0.0454,-0.0159,0.0131,0.0148,,,,
01/10/1985,0.2657,0.0065,0.0402,-0.0157,0.0078,0.0488,,,,
01/11/1985,0.001908,0.0061,0.0648,0.0022,-0.0288,-0.004,,,,
01/12/1985,-0.059048,0.0065,0.0388,-0.0049,-0.0152,-0.0013,,,,
01/01/1986,-0.087045,0.0056,0.0065,0.0122,0.0052,0.0296,,,,
01/02/1986,0.223947,0.0053,0.0713,-0.0062,-0.0085,0.0278,,,,
01/03/1986,0.130435,0.006,0.0488,-0.0052,-0.0044,0.0245,,,,
01/04/1986,-0.067308,0.0052,-0.0131,0.0285,-0.0286,-0.005,,,,
01/05/1986,-0.017182,0.0049,0.0462,-0.0132,-0.0014,0.0202,,,,
01/06/1986,0.04021,0.0052,0.0103,-0.0093,0.0136,0.0516,,,,
01/07/1986,-0.05042,0.0052,-0.0645,-0.0339,0.0476,0.018,,,,
01/08/1986,0.026549,0.0046,0.0607,-0.042,0.035,-0.0501,,,,
01/09/1986,-0.094828,0.0045,-0.086,0.0226,0.0316,-0.0586,,,,
