date,mktrf,smb,hml,mom
198001,5.51,1.62,1.75,7.55
198002,-1.22,-1.85,0.61,7.88
198003,-12.9,-6.64,-1.01,-9.55
198004,3.97,1.05,1.06,-0.43
198005,5.26,2.13,0.38,-1.12
198006,3.06,1.66,-0.76,1.62
198007,6.49,4.14,-6.41,0.39
198008,1.8,3.92,-2.6,3.21
198009,2.19,0.98,-4.59,5.39
198010,1.06,2.47,-2.76,7.3
198011,9.59,-3.36,-8.33,15.22
198012,-4.52,-0.26,2.79,-6.68
198101,-5.04,2.92,6.72,-7.95
198102,0.57,-0.34,1.02,-1.35
198103,3.56,3.54,0.64,0.74
198104,-2.11,4.4,2.28,-0.91
198105,0.11,2,-0.42,3.7
198106,-2.36,-0.83,5.13,-5.81
198107,-1.54,-2.19,-0.5,-2.45
198108,-7.04,-1.95,4.76,-1.15
198109,-7.17,-2.65,5.17,1.95
198110,4.92,2.23,-4.21,4.01
198111,3.36,-1.03,1.83,-0.27
198112,-3.65,1.2,0.81,1.3
198201,-3.24,-1.28,3.19,1.72
198202,-5.86,0.44,6.05,4.88
198203,-1.87,-0.21,3.81,2.96
198204,3.27,1.47,-2.7,-0.4
198205,-3.99,0.52,1.75,2.5
198206,-3.09,-0.4,1.53,4.96
198207,-3.19,0.83,0.09,4.45
198208,11.14,-4.14,0.95,-3.52
198209,1.29,2.95,0.28,4.19
198210,11.3,2.34,-3.66,0.18
198211,4.67,4.67,-1.87,5.95
198212,0.55,-0.22,-0.02,0.04
198301,3.6,2.73,-0.75,-1.73
198302,2.59,3.27,0.7,3.77
198303,2.82,1.73,2.02,0.92
198304,6.67,0.5,0.49,1.72
198305,0.52,6.24,-1.4,-1.56
198306,3.07,0.95,-3.9,1.8
198307,-4.07,1.5,5.62,-3.13
198308,-0.5,-4.28,5.54,-5.65
198309,0.91,0.61,1.01,-0.03
198310,-3.44,-3.57,4.97,-4.52
198311,2.16,2.01,-0.72,-0.13
198312,-1.78,-0.27,1.73,0.84
198401,-1.92,-0.38,7.58,-2.56
198402,-4.82,-1.69,3.33,0.22
198403,0.63,0.07,0.46,1.07
198404,-0.51,-1.16,1.2,2.07
198405,-5.97,0.06,0.31,1.51
198406,1.82,-0.3,-2.66,-0.7
198407,-2.74,-2.21,0.36,2.85
198408,10.28,-0.24,-1.82,-5.59
198409,-0.8,0.17,5.28,3.62
198410,-0.84,-1.23,0.45,3.16
198411,-1.76,-0.65,4.06,1.64
198412,1.84,-0.56,-0.26,1.49
198501,7.99,3.31,-5.35,-6.82
198502,1.22,0.79,-0.1,1.88
198503,-0.84,-1.08,4.07,1.58
198504,-0.96,0.14,3.72,3.04
198505,5.09,-2.22,-0.96,3.99
198506,1.27,0.52,0.38,3.57
198507,-0.74,2.84,-1.62,-3.91
198508,-1.02,-0.3,2.32,1.85
198509,-4.54,-1.59,1.29,1.51
198510,4.02,-1.51,0.75,4.88
