date,cape,mkt5yrfwd
1950-1,10.52932,0.2323564
1950-2,10.74572,0.2312417
1950-3,10.91136,0.234058
1950-4,10.91094,0.2296072
1950-5,11.17801,0.2305961
1950-6,11.46166,0.2209733
1950-7,11.55411,0.2303341
1950-8,10.53973,0.2660609
1950-9,11.04028,0.2490832
1950-10,11.33738,0.2507261
1950-11,11.66243,0.2272393
1950-12,11.54216,0.2431253
1951-1,11.30665,0.2456415
1951-2,11.89574,0.2206455
1951-3,12.14096,0.2126625
1951-4,11.84161,0.2324019
1951-5,11.95108,0.2313145
1951-6,11.86403,0.2226826
1951-7,11.61565,0.2248407
1951-8,11.77817,0.2328267
1951-9,12.25665,0.2202522
1951-10,12.44493,0.2051571
1951-11,12.30944,0.2027839
1951-12,11.85184,0.206548
1952-1,12.14705,0.2023093
1952-2,12.52704,0.1887919
1952-3,12.36392,0.182269
1952-4,12.36232,0.1842784
1952-5,12.24271,0.1899601
1952-6,12.20046,0.1985675
1952-7,12.44786,0.1955297
1952-8,12.66909,0.1930778
1952-9,12.67847,0.1783045
1952-10,12.43466,0.1719508
1952-11,12.13116,0.1615387
1952-12,12.47362,0.149
1953-1,12.93394,0.1396312
1953-2,13.01076,0.1426126
1953-3,12.85905,0.1459932
1953-4,12.8348,0.1493072
1953-5,12.16389,0.1619587
1953-6,12.14179,0.1677784
1953-7,11.62439,0.1815567
1953-8,11.75018,0.1842432
1953-9,11.71497,0.1915852
1953-10,11.13933,0.2086101
1953-11,11.39192,0.2105568
1953-12,11.64366,0.2119974
1954-1,11.75443,0.2127484
1954-2,12.00263,0.2156089
1954-3,12.21544,0.2061033
1954-4,12.42008,0.2065991
1954-5,12.90785,0.2007224
1954-6,13.31246,0.1945186
1954-7,13.35787,0.1901383
1954-8,13.83299,0.189573
1954-9,14.042,0.183173
1954-10,14.35646,0.1678988
1954-11,14.61922,0.1620251
1954-12,15.1171,0.1537619
1955-1,15.78904,0.1504078
1955-2,15.99076,0.1420169
1955-3,16.43792,0.125403
1955-4,16.21926,0.1239101
1955-5,16.68525,0.1190357
1955-6,16.51754,0.117785
1955-7,17.37007,0.1131786
1955-8,18.45401,0.092023
1955-9,18.22285,0.0959097
1955-10,18.84394,0.0796658
1955-11,17.7723,0.086483
1955-12,18.83553,0.0792367
1956-1,18.94234,0.0823192
1956-2,18.29257,0.0991153
1956-3,18.26631,0.106469
1956-4,19.37119,0.09847
